16:31:01  Opening log file '211107-163101 CATfix v1.0 log.txt'

CATfix options file: catfix.ini

            com_in=11
            com_in_baud=115200
            com_out=2
            com_out_baud=115200

            start_minimized=0
            enable_log=1

            reset_AI=1
            set_lock=0

16:31:01  Opening input port: COM11
16:31:01  Opening output port: COM2
MODEL: ?  TYPE: K 00.  FIRMWARE VERSION: 1.04.

16:31:27  EXTERNAL MODE via COM11
---------------------------------------------------------

16:31:27 SESSION STARTED

16:31:27 ************** DATE: Sun.07 Nov 2021
16:31:30       3.00   < EX05400000;
16:31:30       3.00   < SM00004;
16:31:30       3.02   > RI;
16:31:30       3.10   < EX05600000;
16:31:30       3.10   < EX06100001;
16:31:30       3.10   < EX06900001;
16:31:30       3.10   < SM00005;
16:31:30       3.11   < EX07000001;
16:31:30       3.11   < EX08500001;
16:31:31       3.11   < TS0;
16:31:31       3.11   < ?;
16:31:31       3.11   < ?;
16:31:31       3.11   < FR1;
16:31:31       3.11   < MD2;
16:31:31       3.23   > IF;
16:31:31       3.23   > XI;
16:31:31       3.24   > RI;
16:31:31       3.25   > XI;
16:31:31       3.25   > RI;
16:31:31       3.26   > XI;
16:31:31       3.30   < RI000249150002100;
16:31:31       3.30   < PS1;
16:31:31       3.30   < SM00006;
16:31:31       3.31   < AI2;
16:31:31       3.32   < IF00024915000      000000051021000080;
16:31:31       3.47   > SL;
16:31:31       3.47   > SH;
16:31:31       3.49   > GC;
16:31:31       3.50   > DA;
16:31:31       3.51   > SC;
16:31:31       3.52   > AC;
16:31:31       3.53   > AG0;
16:31:31       3.54   > AN;
16:31:31       3.55   > BC;
16:31:31       3.55   > BP;
16:31:31       3.56   > BY;
16:31:31       3.57   > CR;
16:31:31       3.58   > CT;
16:31:31       3.59   > FA;
16:31:31       3.60   > FB;
16:31:31       3.60   > FL;
16:31:31       3.61   > FS;
16:31:31       3.62   > FT;
16:31:31       3.62   > GC;
16:31:31       3.63   > IF;
16:31:31       3.64   > KS;
16:31:31       3.65   > LK;
16:31:31       3.66   > LM;
16:31:31       3.67   > MC;
16:31:31       3.68   > ME;
16:31:31       3.69   > MG;
16:31:31       3.70   > MR0 51;
16:31:31       3.72   > MR1 51;
16:31:31       3.73   > NB;
16:31:31       3.74   > NR;
16:31:31       3.74   > NT;
16:31:31       3.75   > PA;
16:31:31       3.76   > PB;
16:31:31       3.76   > PC;
16:31:31       3.77   > PR;
16:31:31       3.78   > QR;
16:31:31       3.79   > RA;
16:31:31       3.80   > RG;
16:31:31       3.80   > RM;
16:31:31       3.81   > RS;
16:31:31       3.82   > RT;
16:31:31       3.83   > SH;
16:31:31       3.84   > SL;
16:31:31       3.85   > SM0;
16:31:31       3.85   > SP;
16:31:31       3.86   > SQ0;
16:31:31       3.87   > TO;
16:31:31       3.88   > TP;
16:31:31       3.89   > TY;
16:31:31       3.90   > VX;
16:31:31       3.91   > XI;
16:31:31       3.92   > XO;
16:31:31       3.93   > XT;
16:31:31       3.94   > CD0;
16:31:31       3.95   > VR;
16:31:31       3.96   > ID;
16:31:31       3.97   < XI000249150002100;
16:31:31       3.98   < RI000249150002100;
16:31:31       3.99   < XI000249150002100;
16:31:31       3.99   < RI000249150002100;
16:31:31       4.00   < XI000249150002100;
16:31:31       4.00   < SL00;
16:31:31       4.01   < SH10;
16:31:31       4.01   < GC1;
16:31:31       4.01   < DA1;
16:31:31       4.02   < SC00;
16:31:31       4.02   < AC010;
16:31:31       4.03   < AG0000;
16:31:31       4.03   < AN200;
16:31:31       4.04   < BC0;
16:31:31       4.04   < BP020;
16:31:31       4.04   < BY10;
16:31:31       4.04   < CR0;
16:31:31       4.05   < CT0;
16:31:31       4.05   < FA00024915000;
16:31:31       4.06   < FB00024915000;
16:31:31       4.06   < FL1;
16:31:31       4.07   < FS1;
16:31:31       4.07   < FT1;
16:31:31       4.07   < GC1;
16:31:31       4.08   < IF00024915000      000000051021000080;
16:31:31       4.08   < KS024;
16:31:31       4.08   < LK00;
16:31:31       4.09   < LM00000;
16:31:31       4.09   < MC 51;
16:31:31       4.09   < ME000;
16:31:31       4.10   < MG017;
16:31:31       4.10   < MR0 5100021074000210080800000000000000000;
16:31:32       4.11   < MR1 5100028074000210080800000000000000000;
16:31:32       4.11   < NB2;
16:31:32       4.12   < NR0;
16:31:32       4.12   < NT00;
16:31:32       4.13   < PA10;
16:31:32       4.13   < PB0000;
16:31:32       4.13   < PC005;
16:31:32       4.14   < PR0;
16:31:32       4.14   < QR00;
16:31:32       4.14   < ?;
16:31:32       4.14   < ?;
16:31:32       4.15   < RA0000;
16:31:32       4.15   < RG255;
16:31:32       4.15   < RM10000;
16:31:32       4.16   < RM20000;
16:31:32       4.16   < RM30000;
16:31:32       4.16   < RS0;
16:31:32       4.17   > SL;
16:31:32       4.18   > SH;
16:31:32       4.19   > GC;
16:31:32       4.20   > SL;
16:31:32       4.21   > SH;
16:31:32       4.22   > GC;
16:31:32       4.23   > RI;
16:31:32       4.24   > XI;
16:31:32       4.25   > CT;
16:31:32       4.26   > TO;
16:31:32       4.26   > SH;
16:31:32       4.27   > SL;
16:31:32       4.28   > XI;
16:31:32       4.29   > XI;
16:31:32       4.30   > RI;
16:31:32       4.32   > MR0 51;
16:31:32       4.34   > MR1 51;
16:31:32       4.38   < RT0;
16:31:32       4.38   < SH10;
16:31:32       4.38   < SL00;
16:31:32       4.38   < SM00006;
16:31:32       4.38   < SP0;
16:31:32       4.39   < SQ0000;
16:31:32       4.39   < TO0;
16:31:32       4.39   < TP005;
16:31:32       4.39   < TYK 00;
16:31:32       4.39   < VX0;
16:31:32       4.40   < XI000249150002100;
16:31:32       4.40   < XO000000000000;
16:31:32       4.40   < XT0;
16:31:32       4.40   < CD00;
16:31:32       4.40   < VR0;
16:31:32       4.40   < ID023;
16:31:32       4.40   < PS1;
16:31:32       4.40   < AI2;
16:31:32       4.41   < SL00;
16:31:32       4.41   < SH10;
16:31:32       4.41   < GC1;
16:31:32       4.41   < SL00;
16:31:32       4.43   < SH10;
16:31:32       4.43   < GC1;
16:31:32       4.43   < RI000249150002100;
16:31:32       4.44   < XI000249150002100;
16:31:32       4.44   < CT0;
16:31:32       4.44   < TO0;
16:31:32       4.44   < SH10;
16:31:32       4.45   < SL00;
16:31:32       4.45   < XI000249150002100;
16:31:32       4.45   < XI000249150002100;
16:31:32       4.54   > SL;
16:31:32       4.55   > SH;
16:31:32       4.56   > GC;
16:31:32       4.63   < RI000249150002100;
16:31:32       4.64   < MR0 5100021074000210080800000000000000000;
16:31:32       4.64   < MR1 5100028074000210080800000000000000000;
16:31:32       4.65   > SL;
16:31:32       4.66   > SH;
16:31:32       4.67   > GC;
16:31:32       4.68   < SL00;
16:31:32       4.68   < SM00005;
16:31:32       4.68   < SH10;
16:31:32       4.68   < GC1;
16:31:32       4.71   > PS;
16:31:32       4.72   > TY;
16:31:32       4.73   > RX;
16:31:32       4.74   < SM00006;
16:31:32       4.75   < SL00;
16:31:32       4.75   < SH10;
16:31:32       4.78   < GC1;
16:31:32       4.86   < PS1;
16:31:32       4.87   < TYK 00;
16:31:32       4.94   < AI2;
16:31:32       4.95   < ?;
16:31:32       4.95   < ?;
16:31:33       5.22   < PS1;
16:31:33       5.31   < AI2;
16:31:33       5.92   < ?;
16:31:33       5.92   < ?;
16:31:34       6.21   < PS1;
16:31:34       6.22   > PS;
16:31:34       6.23   > AI;
16:31:34       6.28   < AI2;
16:31:34       6.32   < PS1;
16:31:34       6.38   < AI2;
16:31:34       6.39   < AI2;
16:31:34       6.99   < ?;
16:31:34       6.99   < ?;
16:31:35       7.19   < SM00005;
16:31:35       7.26   < PS1;
16:31:35       7.27   < SM00006;
16:31:35       7.27   < AI2;
